StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"consent ","pid ",button_1,button_2,button_3,button_4,button_5,button_6,button_7,button_8,button_9,button_10,button_11,button_12,button_13,button_14,button_15,button_16,button_17,button_18,button_19,button_20,target_easy,target_hard,age_1,"gender ",feedback,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,information for participants,"What is your prolific ID?

Please note that this response could auto-fill with the correct ID",Button function 1,Button function 2,Button function 3,Button function 4,Button function 5,Button function 6,Button function 7,Button function 8,Button function 9,Button function 10,Button function 11,Button function 12,Button function 13,Button function 14,Button function 15,Button function 16,Button function 17,Button function 18,Button function 19,Button function 20,Please briefly describe some target shapes that are easy for such a machine to make.,And some shapes that you think would be difficult for such a machine to make.,How old are you? - Age (number),What is your gender?,Do you have any comments regarding the experiment?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2023-01-29 15:19:05,2023-01-29 15:19:36,Survey Preview,,100,30,True,2023-01-29 15:19:37,R_2TuuEej76t0nqOb,,,,,51.4964,-0.1224,preview,EN,I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29 15:22:52,2023-01-29 15:22:57,Survey Preview,,100,4,True,2023-01-29 15:22:58,R_3rTJooTsv9DG02R,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30 11:06:02,2023-01-30 11:09:54,Survey Preview,,100,231,True,2023-01-30 11:09:55,R_1NmteCGScERTG4s,,,,,51.4964,-0.1224,preview,EN,I consent,abc,enlarge the existing shape,shrink the existing shape,add ridges to the existing shape,turn the shape 90 degrees left,add a triangle,remove some squares,repeat part of the shape,no,can't think of any,combinations of the above,a,c,d,c,d,d,d,d,d,d,a cross,something the look like a maze,20,Prefer not to say,no,
2023-01-30 11:25:51,2023-01-30 11:25:58,Survey Preview,,100,7,True,2023-01-30 11:26:00,R_12eZ8L4JPnUn36f,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30 11:33:24,2023-01-30 11:33:28,Survey Preview,,100,4,True,2023-01-30 11:33:30,R_Q0QCPlolip33x4d,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30 11:34:10,2023-01-30 11:34:14,Survey Preview,,100,3,True,2023-01-30 11:34:16,R_cvBNprI2ZOMGnLj,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30 11:36:15,2023-01-30 11:36:19,Survey Preview,,100,3,True,2023-01-30 11:36:21,R_1IHuzfFkuoKV3ii,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-30 11:38:00,2023-01-30 11:38:10,Survey Preview,,100,9,True,2023-01-30 11:38:12,R_1gqH9CZEhSUQ0Lm,,,,,51.4964,-0.1224,preview,EN,I do no consent,,,,,,,,,,,,,,,,,,,,,,,,,,,
